pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"Kepler-1050 b","Transit","Kepler",1.51000000,786.00,6086.00
"Kepler-1669 c","Transit","Kepler",1.81000000,897.00,4056.00
"KOI-3503 c","Transit","Kepler",0.80000000,589.00,6338.00
"Kepler-1455 b","Transit","Kepler",1.93000000,298.00,3950.00
"Kepler-1448 b","Transit","Kepler",1.73000000,811.00,6075.00
"Kepler-186 c","Transit","Kepler",1.14000000,464.00,3751.00
"Kepler-80 e","Transit","Kepler",1.60000000,628.00,4040.00
"Kepler-935 b","Transit","Kepler",1.55000000,879.00,4929.00
"Kepler-431 c","Transit","Kepler",0.92000000,1231.00,6293.00
"Kepler-1356 b","Transit","Kepler",1.45000000,1718.00,5238.00
"Kepler-326 b","Transit","Kepler",1.25000000,1127.00,5103.00
"NGTS-34 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.65000000,624.00,6134.00
"Kepler-213 b","Transit","Kepler",1.33000000,1326.00,5736.00
"Kepler-778 b","Transit","Kepler",1.58000000,977.00,5311.00
"Kepler-1559 b","Transit","Kepler",0.70000000,1581.00,5406.00
"Kepler-341 d","Transit","Kepler",2.04000000,622.00,5616.00
"Kepler-249 d","Transit","Kepler",1.21000000,336.00,3568.00
"Kepler-107 d","Transit","Kepler",1.07000000,1075.00,5851.00
"Kepler-31 c","Transit","Kepler",4.99000000,615.00,6505.00
"Kepler-681 b","Transit","Kepler",3.16000000,491.00,5127.00
"Kepler-357 c","Transit","Kepler",2.51000000,576.00,4954.00
"HATS-48 A b","Transit","HATSouth",9.49951912,890.56,4351.00
"Kepler-267 b","Transit","Kepler",2.00000000,689.00,4081.00
"HAT-P-2 b","Transit","HATNet",11.24262700,1398.00,6290.00
"TrES-4 b","Transit","TrES",19.62695900,1785.00,6200.00
"HAT-P-6 b","Transit","HATNet",14.90797000,1675.00,6570.00
"HD 209458 b","Radial Velocity","W. M. Keck Observatory",15.23300000,1449.00,6065.00
"WASP-2 b","Transit","SuperWASP",12.00500000,1304.00,5200.00
"WASP-2 b","Transit","SuperWASP",12.52000000,1300.00,5200.00
"HAT-P-30 b","Transit","HATNet",15.02000000,1630.00,6304.00
"HAT-P-32 b","Transit","HATNet",20.05300000,1786.00,6207.00
"KOI-13 b","Transit","Kepler",20.50000000,3257.00,8848.00
"Kepler-17 b","Transit","Kepler",14.68000000,1570.00,5781.00
"Qatar-2 b","Transit","Qatar",12.82300000,1292.00,4645.00
"KOI-13 b","Transit","Kepler",22.77000000,3320.00,8848.00
"WASP-79 b","Transit","SuperWASP",23.43000000,1900.00,6600.00
"HAT-P-38 b","Transit","HATNet",9.24700000,1082.00,5330.00
"HAT-P-41 b","Transit","HATNet",18.88700000,1941.00,6390.00
"Kepler-1165 c","Transit","Kepler",2.00000000,647.00,6224.00
"Kepler-452 b","Transit","Kepler",1.13000000,220.00,5578.00
"Kepler-278 b","Transit","Kepler",4.23000000,829.00,4991.00
"Kepler-1978 b","Transit","Kepler",3.17000000,676.00,5252.00
"Kepler-142 c","Transit","Kepler",2.78000000,1210.00,5726.00
"Kepler-612 b","Transit","Kepler",2.33000000,1046.00,5617.00
"Kepler-1566 b","Transit","Kepler",0.68000000,1727.00,5166.00
"Kepler-633 c","Transit","Kepler",2.45000000,853.00,6282.00
"Kepler-851 b","Transit","Kepler",1.69000000,895.00,5803.00
"Kepler-896 b","Transit","Kepler",2.60000000,304.00,5514.00
"Kepler-36 b","Transit","Kepler",1.45000000,977.00,5919.00
"K2-35 c","Transit","K2",2.20000000,766.00,4523.00
"Kepler-215 d","Transit","Kepler",2.45000000,600.00,5741.00
"Kepler-1355 b","Transit","Kepler",1.38000000,1428.00,5444.00
"Kepler-647 b","Transit","Kepler",1.15000000,770.00,5955.00
"Kepler-913 b","Transit","Kepler",2.62000000,707.00,5412.00
"Kepler-100 d","Transit","Kepler",1.50000000,674.00,5825.00
"Kepler-1866 b","Transit","Kepler",2.08000000,834.00,5791.00
"Kepler-1859 c","Transit","Kepler",1.66000000,1327.00,5887.00
"Kepler-1915 b","Transit","Kepler",3.15000000,809.00,6031.00
"Kepler-613 b","Transit","Kepler",2.30000000,710.00,5938.00
"Kepler-261 c","Transit","Kepler",2.10000000,509.00,5203.00
"TOI-778 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",15.24530000,1450.00,6780.00
"TOI-2285 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.77000000,358.00,3491.00
"TOI-4184 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.43000000,412.00,3238.00
"TOI-1268 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",9.31888000,860.00,5091.20
"HAT-P-38 b","Transit","HATNet",10.24074428,1007.02,5191.00
"WASP-16 b","Transit","SuperWASP",11.85712400,1194.99,5700.00
"WASP-131 b","Transit","SuperWASP-South",17.10380871,1432.57,6030.00
"WASP-46 b","Transit","SuperWASP",13.18745031,1525.90,5600.00
"WASP-94 A b","Transit","SuperWASP",20.53570000,1570.00,6153.00
"WASP-97 b","Transit","SuperWASP",14.29540000,1708.00,5640.00
"WASP-6 b","Transit","SuperWASP",12.74000711,1036.74,5375.00
"WASP-50 b","Transit","SuperWASP",13.14068336,1307.33,5400.00
"HD 189733 b","Radial Velocity","Haute-Provence Observatory",13.30103550,1101.70,5023.00
"Ross 176 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.22447000,731.00,4006.00
"WASP-11 b","Transit","SuperWASP",11.46948561,940.60,4926.00
"WASP-32 b","Transit","SuperWASP",12.45430000,1388.00,6427.00
"WASP-75 b","Transit","SuperWASP",13.34130000,1232.00,6089.00
"HAT-P-2 b","Transit","HATNet",13.25830000,1372.00,6412.80
"HAT-P-1 b","Transit","HATNet",14.53310000,1118.00,6051.20
"HAT-P-16 b","Transit","HATNet",15.40180000,1761.00,6140.00
"Qatar-1 b","Transit","Qatar",12.52420000,1231.00,4910.00
"KELT-1 b","Transit","KELT",12.94380000,2361.00,6596.04
"HAT-P-18 b","Transit","HATNet",10.72997950,768.05,4790.00
"WASP-3 b","Transit","SuperWASP",16.40120000,1825.00,6352.00
"Kepler-12 b","Transit","Kepler",20.35653367,1414.04,5967.00
"Kepler-5 b","Transit","Kepler",15.21650157,1678.30,6295.00
"WASP-26 b","Transit","SuperWASP",13.80446613,1509.04,6034.00
"WASP-48 b","Transit","SuperWASP",18.05375882,1949.02,6148.00
"WASP-13 b","Transit","SuperWASP",16.25090000,1388.00,5914.00
"GJ 436 b","Radial Velocity","W. M. Keck Observatory",3.81211403,594.05,3456.00
"KELT-6 b","Transit","KELT",14.28660000,1442.00,6266.00
"Kepler-6 b","Transit","Kepler",13.31600225,1374.57,5613.00
"XO-1 b","Transit","XO",13.83520000,1179.00,5729.00
"WASP-18 b","Transit","SuperWASP",15.34200000,2251.00,6400.00
"WASP-64 b","Transit","SuperWASP",14.72475239,1603.81,5400.00
"Kepler-17 b","Transit","Kepler",14.85854478,1595.35,5781.00
"WASP-2 b","Transit","SuperWASP",11.99944272,1189.67,5147.00
"HAT-P-23 b","Transit","HATNet",14.10495771,1854.66,5918.23
"K2-121 b","Transit","K2",7.50399000,935.00,4664.80
"Kepler-76 b","Orbital Brightness Modulation","Kepler",13.43000000,1997.00,6309.00
"WASP-74 b","Transit","SuperWASP",15.73743600,1926.00,5984.00
"HD 202772 A b","Transit","Transiting Exoplanet Survey Satellite (TESS)",17.31790500,2132.00,6272.00
"TrES-2 b","Transit","TrES",13.77586100,1466.00,5795.00
"HAT-P-12 b","Transit","HATNet",10.63734100,975.00,4650.00
"HAT-P-32 b","Transit","HATNet",22.19382000,1835.70,6001.00
"WASP-121 b","Transit","SuperWASP",20.17620000,2720.00,
"WASP-33 b","Transit","SuperWASP",17.85593700,2781.70,7430.00
"TOI-1266 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.91122823,325.83,3618.00
"WASP-14 b","Transit","SuperWASP",13.89916000,1872.00,6475.00
"WASP-11 b","Transit","SuperWASP",11.09691000,992.00,4900.00
